작성일,출처,제목,내용
2010-07-09,"https://ko.wikinews.org/wiki/%27%EC%A0%90%EC%9F%81%EC%9D%B4_%EB%AC%B8%EC%96%B4%27_%ED%8C%8C%EC%9A%B8,_%EC%8A%A4%ED%8E%98%EC%9D%B8%EC%9D%98_FIFA_%EC%9B%94%EB%93%9C%EC%BB%B5_%EC%9A%B0%EC%8A%B9_%EC%98%88%EC%96%B8","'점쟁이 문어' 파울, 스페인의 FIFA 월드컵 우승 예언","2010년 FIFA 월드컵에서 경기 승리팀을 정확히 맞혀 '점쟁이 문어'라는 별명을 얻은 문어 파울이 스페인의 FIFA 월드컵 우승을 예언하였다. 독일 오버하우젠 해양생물박물관에서 살고 있는 파울은 UEFA 유로 2008에서 스페인과의 결승전을 제외한 독일이 치른 모든 경기의 승패를 정확히 점쳤으며, 2010년 월드컵에서는 독일이 치른 모든 경기의 승패를 정확히 예고하였다. 또한, 파울은 월드컵 3, 4위전에서 우루과이를 꺾고 독일이 승리할 것을 예견하였다.
파울의 예언 방식은 수족관에 경기를 갖는 국가의 국기가 각각 그려진 2개의 유리상자를 넣은 뒤, 그 안에 홍합을 넣고, 파울을 넣어 파울이 먹은 홍합이 들어 있는 상자에 그려진 국기의 국가가 승리한다는 것이다. 한편, 파울의 월드컵 3, 4위전과 결승전 승리팀 예언은 독일과 스페인, 네덜란드 등 경기를 갖는 국가의 방송사에서 생중계되었다."
2010-07-12,"https://ko.wikinews.org/wiki/%EC%8A%A4%ED%8E%98%EC%9D%B8,_%EC%97%B0%EC%9E%A5%EC%A0%84_%ED%98%88%ED%88%AC_%EB%81%9D%EC%97%90_%EB%84%A4%EB%8D%9C%EB%9E%80%EB%93%9C%EB%A5%BC_%EA%BA%BE%EA%B3%A0_2010%EB%85%84_FIFA_%EC%9B%94%EB%93%9C%EC%BB%B5_%EC%9A%B0%EC%8A%B9","스페인, 연장전 혈투 끝에 네덜란드를 꺾고 2010년 FIFA 월드컵 우승","남아프리카 공화국의 요하네스버그에서 열린 2010년 FIFA 월드컵 결승전에서 스페인이 네덜란드를 1-0으로 꺾고 사상 처음으로 FIFA 월드컵 우승을 차지하였다. 스페인은 연장 후반 11분에 터진 안드레스 이니에스타의 결승골로 세계 챔피언에 올랐다.
이로써, 스페인은 브라질, 이탈리아, 독일, 아르헨티나, 우루과이, 잉글랜드, 프랑스에 이어 여덟 번째로 월드컵 우승을 이뤄낸 국가가 되었고, 비유럽지역에서 개최된 월드컵에서 처음으로 우승컵을 들어 올린 유럽 대표팀이 되었으며, 1974년 FIFA 월드컵에서 우승한 서독에 이어 두 번째로 유럽 축구 선수권 대회와 월드컵에서 모두 우승한 팀이 되었다. 한편, 네덜란드는 1974년 FIFA 월드컵과 1978년 FIFA 월드컵에 이어 세 번째로 준우승에 머무르게 되었다.
경기가 팽팽한 균형을 이룬 가운데 양 팀 모두 결정적인 기회를 잡았으나, 양 팀 모두 기회를 살리지 못하며 경기는 연장전에 들어갔다. 연장 후반 4분에 욘 헤이팅아가 이니에스타에 반칙을 범해 경고 누적으로 퇴장당했으며, 연장 후반 11분에 이니에스타가 결승골을 터뜨려 스페인이 월드컵 우승컵을 들어 올리게 되었다."
2010-07-29,"https://ko.wikinews.org/wiki/%EC%95%84%EB%A7%88%EB%94%94%EB%84%A4%EC%9E%90%EB%93%9C,_%27%EC%A0%90%EC%9F%81%EC%9D%B4_%EB%AC%B8%EC%96%B4%27_%ED%8C%8C%EC%9A%B8_%EB%B9%84%EB%82%9C","아마디네자드, '점쟁이 문어' 파울 비난","이란의 대통령 마무드 아마디네자드가 2010년 FIFA 월드컵에서 경기 승리팀을 정확히 맞혀 '점쟁이 문어'라는 별명을 얻은 문어 파울이 ""서구 문화의 타락의 상징""이라며 비난하였다.
아마디네자드는 테헤란에서 열린 대중집회에서 연설하던 중, ""이 같은 것 (문어 파울)을 믿는 사람들은 신성한 가치를 추구하는 것에 기반한 인류의 완전함을 열망하는 이란과 같은 세계의 여러 국가들의 지도자가 될 수 없다""고 주장하였다.
이어 그는 ""우리는 이란을 건국하였지만, 그것이 민족주의적인 관점에서 문제를 바라보고, 이란의 민족을 선별하는 것을 의미하는 것은 아니다. 오늘날 이란이라는 이름의 의미는 위신, 정의의 추구, 일신교, 폭정에 대한 반대, 세계 여러 나라들로부터 받은 축복받은 가치와 밀접한 연관이 있다""고 덧붙였다.
파울은 2010년 월드컵에서 독일이 치른 모든 경기 (7경기)와 스페인과 네덜란드와의 결승전의 승패를 정확히 예고하여 유명세를 탔으며, 현재 독일 오버하우젠 해양생물박물관에서 살고 있다."
2010-07-31,https://ko.wikinews.org/wiki/7%EC%9B%94_28%EC%9D%BC_%EC%9E%AC%EB%B3%B4%EA%B6%90%EC%84%A0%EA%B1%B0%EC%97%90_%ED%95%9C%EB%82%98%EB%9D%BC_5%EC%84%9D_%EB%AF%BC%EC%A3%BC_3%EC%84%9D,7월 28일 재보궐선거에 한나라 5석 민주 3석,"7월 28일 8명의 국회의원을 선출하는 재보궐선거에서 한나라당이 5석, 민주당이 3석을 확보했다. 서울 은평구 을선거구에서 이재오, 인천 계양구을에서 이상권,강원도 철원/화천/양구/인제 지역구에서 한기호, 충북 충주에서 윤진식, 충남 천안을에서 김호연 후보(이상 한나라당)가 당선되었고, 광주 남구에 장병완, 강원도 원주시에서 박우순, 강원도 태백/영월/평창/정선에서 최종원(이상 민주당) 후보가 당선되었다. 원내 제3당인 자유선진당은 충남 천안을에서 후보 한 명을 냈지만 김호연 한나라당 후보에게 패배했다."
2010-08-12,https://ko.wikinews.org/wiki/%ED%8C%A8%EC%85%98%EB%94%94%EC%9E%90%EC%9D%B4%EB%84%88_%EC%95%99%EB%93%9C%EB%A0%88%EA%B9%80_%EB%B3%84%EC%84%B8,패션디자이너 앙드레김 별세,"디자이너 앙드레 김(본명 김봉남, 75세)씨가 12일 오후 7시25분 서울대병원 중환자실에서 숙환으로 별세했다. 앙드레 김씨은 지난달 말 폐렴 증세로 서울대병원에 입원, 치료를 받아왔다."
2010-08-16,https://ko.wikinews.org/wiki/%EC%BD%9C%EB%A1%AC%EB%B9%84%EC%95%84_%EC%97%AC%EA%B0%9D%EA%B8%B0_%EB%B2%88%EA%B0%9C_%EB%A7%9E%EA%B3%A0_%EB%B6%88%EC%8B%9C%EC%B0%A9,콜롬비아 여객기 번개 맞고 불시착,"16일 오전 1시 49분쯤(현지 시간) 수도 보고타에서 승객과 승무원을 포함한 131명을 태운 콜롬비아 아이레스 에어라인 소속 보잉 737-200 여객기가 산 안드레스섬 공항에 내리기 80ｍ 전에 번개에 맞은 후 활주로에 급히 동체착륙했다. 이 사고로 여객기에 탑승했던 승객 아마르 페르난데스 데 바레토(여, 65세)가 병원으로 이송중 사망했고, 114명이 부상을 입었다."
2010-08-19,"https://ko.wikinews.org/wiki/%EB%B0%A9%ED%86%B5%EC%9C%84,_%EB%B6%81%ED%95%9C_%EC%84%A0%EC%A0%84_%ED%8A%B8%EC%9C%84%ED%84%B0_%EA%B3%84%EC%A0%95_%EC%B6%9C%ED%98%84%EC%97%90_%EC%A0%91%EC%86%8D_%EC%B0%A8%EB%8B%A8","방통위, 북한 선전 트위터 계정 출현에 접속 차단","대한민국 방송통신심의위원회(방통위)가 북한에서 만들어 운영하는 것으로 보이는 우리민족끼리 트위터 계정(@uriminzok)의 접속을 차단했다.
방통위는 이 날, 통신심의소위원회의를 열어 '우리민족끼리' 트위터가 ""반국가단체인 북한정권의 활동을 찬양·고무·동조하고 있어 국가보안법에서 금지하는 불법정보로 판단""해 접속 차단 시정 요구를 의결했다. 이로써 대한민국 내에서는 twitter.com/uriminzok의 URL에 접속하면, 방통위의 차단 안내 페이지가 나타난다.
앞선 12일, 트위터에 북한의 조국평화통일위원회(조평통)가 운영하는 것으로 보이는 계정이 개설되었고, 이 계정에 조평통 측에서 운영하는 우리민족끼리 사이트의 링크가 게시되었다. 이 중에는 이명박 대통령의 정책을 비판하고 북한의 체제를 홍보하는 기사도 포함되어 있다.
현재 대한민국 남북교류협력에 관한 법률 제9조의2는 ""남한의 주민이 북한의 주민과 회합·통신 그 밖의 방법으로 접촉하고자 할 때에는 통일부장관에게 사전에 신고""하도록 규정하며 이를 어길 경우 처벌하도록 하고 있다. 이에 따라 남측 통일부는 대한민국 트위터 사용자가 우리민족끼리 트위터 계정의 트윗(글)에 댓글을 달거나 리트윗(전파)할 경우 이 법에 저촉됨을 밝힌 바 있다.
한편 이번 차단조치에도 불구하고, 모바일 웹이나 트위터를 지원하는 서드파티 어플리케이션을 통한 접속은 차단되지 않으며, 해외 트위터 사용자가 우리민족끼리 트위터의 글을 리트윗할 경우 대한민국 사용자도 그 글을 볼 수 있다."
2010-08-20,"https://ko.wikinews.org/wiki/%EC%9D%B4%EB%8C%80%ED%98%B8,_9%EA%B2%BD%EA%B8%B0_%EC%97%B0%EC%86%8D_%ED%99%88%EB%9F%B0%EC%9C%BC%EB%A1%9C_%EC%84%B8%EA%B3%84_%EC%8B%A0%EA%B8%B0%EB%A1%9D_%EB%8B%AC%EC%84%B1","이대호, 9경기 연속 홈런으로 세계 신기록 달성","롯데 자이언츠의 내야수 이대호(李大浩, 1982년 ~ )가 8월 14일 KIA 타이거즈와의 경기에서 2회초 김희걸을 상대로 비거리 125m짜리 홈런을 기록하면서 자신의 시즌 38호 홈런이자 9경기 연속 홈런이라는 대기록을 달성했다. 8월 4일 두산전에서 7회 김선우의 커브를 받아 친 이후, 임태훈, 정재원, 안승민을 거쳐, 최고의 투수로 손꼽히는 류현진에게도 8회 142km 직구를 받아치며 홈런을 이어갔다. 그 후 삼성의 배영수, 안지만, KIA의 로페즈와 김희걸에게 홈런을 침으로써 메이저리그의 대일 롱, 켄 그리피 주니어, 그리고 돈 매팅리가 세운 8경기 연속 홈런을 넘어섰다."
2010-08-21,https://ko.wikinews.org/wiki/NATO%EA%B5%B0_%EA%B3%B5%EC%8A%B5%EC%9C%BC%EB%A1%9C_%EC%95%84%ED%94%84%EA%B0%84_%EB%AF%BC%EA%B0%84%EC%9D%B8_3%EB%AA%85_%EB%B0%8F_%EA%B2%BD%EA%B4%80_%EC%82%AC%EB%A7%9D,NATO군 공습으로 아프간 민간인 3명 및 경관 사망,"NATO군의 공습으로 아프간 북부에서 서부에서 여성 1명과 어린이 2명이 사망했다. 작전 당시 NATO 소속의 국제 안보 지원군(ISAF)에 따르면 ISAF는 파라 주에서 탈레반을 도운 자를 추적하고 있었다고 밝혔다. ISAF가 추적하고 있는 사람은 이란으로부터 외국의 전투원과 무기를 밀무역하고 있었던 것으로 알려졌다. 추적 중 총격전으로 추적 중인 차에 있던 6명의 반군이 죽고 뒤이어 차를 폭격했다. ISAF는 차에 사제 폭발물이 가득 실려 있었으며 폭발로 인해 한 명의 여성과 2명의 어린이가 사망했다고 밝혔다. ISAF 대변인 라파엘 토레스 대령은 ""어제에 작전에서 발생한 일에 대해 깊은 유감을 표한다""고 말했다.
한편 주즈잔 주에서는 아프간 보안군이 숫자를 알 수 없는 반군에게 공격을 받아 공중 지원을 요청하여 NATO군 헬리콥터가 출격해 헬파이어 미사일과 30mm 포를 발사했다. 전후 추산을 하고 나서 ISAF는 3명의 아프간 경찰이 이번 공격으로 사망하고 더 많은 부상자가 발생했다""고 밝히며 ""ISAF는 순직한 경관의 가족, 친구, 동료에게 조의를 표한다""고 말했다.
NATO는 이 두 사건에 대해 무슨 일이 발생했는지 조사하겠다고 밝혔다."
2010-08-23,https://ko.wikinews.org/wiki/%EA%B3%B5%ED%95%AD%EC%B2%A0%EB%8F%84_%EC%8B%9C%EC%9A%B4%EC%A0%84_%EB%8F%8C%EC%9E%85,공항철도 시운전 돌입,"인천국제공항철도 전 구간이 시운전에 돌입하였다. 코레일공항철도 측은 현재 전 구간 연결 시험운전으로 신규 도입 열차와 기존 열차를 연장구간에서 운행하는 시험을 하는 중이며, 11월부터 정상 영업과 같은 시각표에 의한 시운전에 돌입하여 스크린도어 등을 점검한다고 밝혔다.
인천국제공항철도는 지난 2007년 김포공항역~인천국제공항역 구간을 우선 개통했으며, 12월까지 김포공항역에서 서울역까지의 구간을 추가로 연장할 계획이다. 한편, 코레일공항철도 측은 연장 개통시 영업 시격도 발표하였는데, 일반열차는 서울역~검암역 6분 간격, 검암역~인천국제공항역 12분 간격, 직통열차는 30분 간격으로 운행될 예정이다."
2010-08-23,"https://ko.wikinews.org/wiki/%EC%8B%A0%EC%9E%A5_%EC%9C%84%EA%B5%AC%EB%A5%B4_%ED%8F%AD%ED%83%84%ED%85%8C%EB%9F%AC,_21%EB%AA%85_%EC%82%AC%EC%83%81","신장 위구르 폭탄테러, 21명 사상","지난 19일 현지시각으로 오전 10시 30분 쯤, 신장 아커쑤 시 교외의 한 교차로에서 삼륜차를 이용한 폭탄 테러가 발생해 7명이 숨지고 14명이 부상을 입었다. 용의자인 위구르족 남성은 상처를 입은 채 현장에서 붙잡혔다. 허우한민(侯漢敏) 신장자치구 신문판공실 주임은 “피해자도 대부분이 위구르족”이라고 밝혔다.
경찰 보조원 1명이 이끄는 15명의 순찰대가 교차로 부근에 도착해 대열을 갖추는 순간 삼륜차가 돌진해왔고, 순찰대를 향해 차량 안의 폭발물을 던졌다. 이 폭발로 현장에서 5명이 사망했고, 2명은 병원 후송 중 숨졌다. 부상자 14명 가운데 1명은 생명이 위독하여 추가 사망자 발생 가능성이 비친다.
홍콩 소재 인권민주주의정보센터는 “악수에 계엄령이 선포됐으며 무장경찰이 다수 배치됐다”고 AFP통신에 밝혔다."
